tact,avgWaitingTime,remaining,inMotion,(0) position,(0) number of passangers,(0) passangers,(1) position,(1) number of passangers,(1) passangers,(2) position,(2) number of passangers,(2) passangers
1440,922.4123711340206,97/100,97/100,14,5,"[63.	 home: 7,	 position: 7,	 waiting since: 716,	 schedule: [(715.8310326905228, 5), (745.8310326905228, 7), (1016.5127444069624, 0)], 33.	 home: 7,	 position: 7,	 waiting since: 719,	 schedule: [(718.4613707021482, 5), (748.4613707021482, 7), (1011.3377912608868, 0)], 85.	 home: 7,	 position: 7,	 waiting since: 722,	 schedule: [(721.5532230050654, 5), (751.5532230050654, 7), (1034.4083367772207, 0)], 79.	 home: 6,	 position: 6,	 waiting since: 712,	 schedule: [(711.828895830665, 5), (741.828895830665, 6), (1018.7564014909035, 0)], 19.	 home: 6,	 position: 6,	 waiting since: 733,	 schedule: [(732.0998350094847, 5), (762.0998350094847, 6), (1012.7567335629884, 0)]]",3,5,"[80.	 home: 13,	 position: 0,	 waiting since: 463,	 schedule: [(462.27337643999914, 13), (733.4460516109289, 10), (763.4460516109289, 13), (1036.5246956736596, 0)], 29.	 home: 11,	 position: 0,	 waiting since: 465,	 schedule: [(464.5726201594326, 11), (737.6892946447942, 10), (767.6892946447942, 11), (1031.0060272189485, 0)], 78.	 home: 14,	 position: 0,	 waiting since: 472,	 schedule: [(471.4949739785442, 14), (723.1308981039555, 10), (753.1308981039555, 14), (1026.238129493431, 0)], 13.	 home: 6,	 position: 0,	 waiting since: 473,	 schedule: [(472.79454065907885, 6), (728.5185180260825, 5), (758.5185180260825, 6), (1023.8508775980816, 0)], 20.	 home: 13,	 position: 0,	 waiting since: 473,	 schedule: [(472.13732155216917, 13), (705.8160820863158, 10), (735.8160820863158, 13), (1009.8824371653258, 0)]]",0,5,"[6.	 home: 9,	 position: 0,	 waiting since: 466,	 schedule: [(465.37748977620464, 9), (700.8321817202839, 10), (730.8321817202839, 9), (1007.7272096511717, 0)], 40.	 home: 10,	 position: 0,	 waiting since: 466,	 schedule: [(465.95904941101196, 10), (708.7407604832356, 10), (738.7407604832356, 10), (1024.3974581975585, 0)], 25.	 home: 6,	 position: 0,	 waiting since: 467,	 schedule: [(466.76456201523735, 6), (704.2475051850802, 5), (734.2475051850802, 6), (1031.6038570919322, 0)], 99.	 home: 5,	 position: 0,	 waiting since: 467,	 schedule: [(466.02444383894505, 5), (714.1510045903381, 5), (744.1510045903381, 5), (1013.2292082533187, 0)], 97.	 home: 4,	 position: 0,	 waiting since: 468,	 schedule: [(467.8231994482075, 4), (726.2514115509092, 5), (756.2514115509092, 4), (1015.6414462582134, 0)]]"
1440,947.0909090909091,99/100,99/100,14,0,[],1,5,"[90.	 home: 9,	 position: 0,	 waiting since: 468,	 schedule: [(467.5465258738055, 9), (714.0327943334794, 10), (744.0327943334794, 9), (1040.1985160862948, 0)], 0.	 home: 8,	 position: 0,	 waiting since: 469,	 schedule: [(468.70746018266794, 8), (727.2376615317893, 10), (757.2376615317893, 8), (1010.9127898334957, 0)], 27.	 home: 14,	 position: 0,	 waiting since: 469,	 schedule: [(468.6879538566219, 14), (721.8194200554391, 10), (751.8194200554391, 14), (1027.4204459389528, 0)], 51.	 home: 12,	 position: 0,	 waiting since: 469,	 schedule: [(468.9301001405161, 12), (729.4558219076916, 10), (759.4558219076916, 12), (1016.1605234065908, 0)], 13.	 home: 12,	 position: 0,	 waiting since: 470,	 schedule: [(469.68451331659446, 12), (730.825763289631, 10), (760.825763289631, 12), (1020.9354541227829, 0)]]",0,5,"[4.	 home: 7,	 position: 0,	 waiting since: 455,	 schedule: [(454.72763296672775, 7), (693.5653341489775, 5), (723.5653341489775, 7), (1000.3509902506826, 0)], 54.	 home: 10,	 position: 0,	 waiting since: 465,	 schedule: [(464.2610362773013, 10), (721.4569184327889, 10), (751.4569184327889, 10), (1031.2208313121284, 0)], 2.	 home: 13,	 position: 0,	 waiting since: 466,	 schedule: [(465.0952650711282, 13), (735.3580988833603, 10), (765.3580988833603, 13), (1031.1284162131465, 0)], 10.	 home: 4,	 position: 0,	 waiting since: 467,	 schedule: [(466.56437432042253, 4), (724.5964858533223, 5), (754.5964858533223, 4), (1020.0643374765164, 0)], 15.	 home: 8,	 position: 0,	 waiting since: 468,	 schedule: [(467.26546631761664, 8), (705.4115657403721, 10), (735.4115657403721, 8), (1015.4900697768576, 0)]]"
1440,927.45,100/100,100/100,14,2,"[64.	 home: 13,	 position: 13,	 waiting since: 880,	 schedule: [(721.4630169677426, 10), (751.4630169677426, 13), (1024.115786666038, 0)], 70.	 home: 14,	 position: 14,	 waiting since: 1022,	 schedule: [(1021.9036160375226, 0)]]",14,0,[],1,5,"[22.	 home: 6,	 position: 0,	 waiting since: 448,	 schedule: [(447.4185904023008, 6), (718.3355272263124, 5), (748.3355272263124, 6), (1037.9783845177367, 0)], 63.	 home: 8,	 position: 0,	 waiting since: 456,	 schedule: [(455.8757610517281, 8), (714.1020537577474, 10), (744.1020537577474, 8), (1021.7683315657457, 0)], 44.	 home: 11,	 position: 0,	 waiting since: 462,	 schedule: [(461.75024568191543, 11), (725.1138076986621, 10), (755.1138076986621, 11), (1008.9713809963798, 0)], 13.	 home: 9,	 position: 0,	 waiting since: 463,	 schedule: [(462.3770433876422, 9), (724.3385998362116, 10), (754.3385998362116, 9), (1014.5355501122898, 0)], 65.	 home: 12,	 position: 0,	 waiting since: 463,	 schedule: [(462.69495675837874, 12), (729.4721853345803, 10), (759.4721853345803, 12), (999.5445908441286, 0)]]"
1440,911.96,100/100,100/100,14,0,[],0,5,"[20.	 home: 14,	 position: 0,	 waiting since: 463,	 schedule: [(462.0439811005772, 14), (732.8531916022572, 10), (762.8531916022572, 14), (1030.8953853867306, 0)], 73.	 home: 14,	 position: 0,	 waiting since: 463,	 schedule: [(462.8731349442492, 14), (708.298280067025, 10), (738.298280067025, 14), (1023.7722858561687, 0)], 7.	 home: 12,	 position: 0,	 waiting since: 468,	 schedule: [(467.171607511253, 12), (720.8223828513045, 10), (750.8223828513045, 12), (1024.6165171504465, 0)], 2.	 home: 6,	 position: 5,	 waiting since: 829,	 schedule: [(750.0386735869845, 6), (1008.6634974430026, 0)], 68.	 home: 4,	 position: 4,	 waiting since: 819,	 schedule: [(716.4637808440762, 5), (746.4637808440762, 4), (1008.4930554122523, 0)]]",0,5,"[9.	 home: 10,	 position: 0,	 waiting since: 462,	 schedule: [(461.2438090245247, 10), (706.0353989517666, 10), (736.0353989517666, 10), (1008.0215178666608, 0)], 64.	 home: 5,	 position: 0,	 waiting since: 470,	 schedule: [(469.4386435196534, 5), (724.0441301319114, 5), (754.0441301319114, 5), (1011.0914634646452, 0)], 65.	 home: 13,	 position: 0,	 waiting since: 470,	 schedule: [(469.16604648041493, 13), (751.4044679085146, 10), (781.4044679085146, 13), (1023.0682539770248, 0)], 22.	 home: 10,	 position: 0,	 waiting since: 471,	 schedule: [(470.34387386544716, 10), (713.4091752808098, 10), (743.4091752808098, 10), (1017.8217008689622, 0)], 33.	 home: 5,	 position: 0,	 waiting since: 472,	 schedule: [(471.11840864782636, 5), (736.1145700690662, 5), (766.1145700690662, 5), (1018.4143386137882, 0)]]"
1440,879.34,100/100,100/100,14,5,"[10.	 home: 7,	 position: 0,	 waiting since: 473,	 schedule: [(472.98263294018, 7), (717.8740798607399, 5), (747.8740798607399, 7), (1021.0742162808498, 0)], 23.	 home: 13,	 position: 13,	 waiting since: 997,	 schedule: [(996.979883129185, 0)], 94.	 home: 14,	 position: 14,	 waiting since: 1038,	 schedule: [(1037.466213195845, 0)], 41.	 home: 11,	 position: 11,	 waiting since: 1028,	 schedule: [(1027.8270026124321, 0)], 48.	 home: 10,	 position: 10,	 waiting since: 1033,	 schedule: [(1032.2493898378157, 0)]]",5,0,[],0,5,"[92.	 home: 13,	 position: 0,	 waiting since: 460,	 schedule: [(459.48882358211364, 13), (711.5990444680352, 10), (741.5990444680352, 13), (1011.8765766647706, 0)], 44.	 home: 6,	 position: 0,	 waiting since: 461,	 schedule: [(460.0186336878788, 6), (724.1682055898603, 5), (754.1682055898603, 6), (1008.0970814224877, 0)], 8.	 home: 7,	 position: 0,	 waiting since: 462,	 schedule: [(461.4644447841749, 7), (717.4551717515247, 5), (747.4551717515247, 7), (1025.395012613851, 0)], 1.	 home: 14,	 position: 0,	 waiting since: 470,	 schedule: [(469.78116333406234, 14), (734.2977557702507, 10), (764.2977557702507, 14), (1014.389523774779, 0)], 38.	 home: 13,	 position: 0,	 waiting since: 472,	 schedule: [(471.6773895655076, 13), (720.0766037293344, 10), (750.0766037293344, 13), (1031.9331550585998, 0)]]"
1440,907.6,100/100,100/100,14,5,"[11.	 home: 1,	 position: 5,	 waiting since: 1046,	 schedule: [(748.4146255911411, 1), (1016.5598884931011, 0)], 57.	 home: 7,	 position: 7,	 waiting since: 1055,	 schedule: [(1031.6990136143565, 0)], 69.	 home: 10,	 position: 10,	 waiting since: 1241,	 schedule: [(1023.8361886236378, 0)], 77.	 home: 14,	 position: 14,	 waiting since: 1348,	 schedule: [(721.685602544896, 10), (751.685602544896, 14), (1040.6126157130398, 0)], 94.	 home: 14,	 position: 14,	 waiting since: 1349,	 schedule: [(724.127233515368, 10), (754.127233515368, 14), (1015.8761420471693, 0)]]",0,5,"[3.	 home: 8,	 position: 0,	 waiting since: 468,	 schedule: [(467.9417989901155, 8), (729.8582435111651, 10), (759.8582435111651, 8), (1007.873683760234, 0)], 14.	 home: 6,	 position: 0,	 waiting since: 468,	 schedule: [(467.9795348552858, 6), (722.5865215043708, 5), (752.5865215043708, 6), (1031.2241405260168, 0)], 16.	 home: 11,	 position: 0,	 waiting since: 468,	 schedule: [(467.6333536424727, 11), (723.9677830732611, 10), (753.9677830732611, 11), (1020.5634379754072, 0)], 13.	 home: 9,	 position: 0,	 waiting since: 469,	 schedule: [(468.0060782310301, 9), (732.0547249281445, 10), (762.0547249281445, 9), (1034.3497730198842, 0)], 59.	 home: 1,	 position: 1,	 waiting since: 740,	 schedule: [(715.7052660019752, 5), (745.7052660019752, 1), (1026.6842811932686, 0)]]",0,5,"[92.	 home: 12,	 position: 0,	 waiting since: 460,	 schedule: [(459.7270406797093, 12), (716.153858639738, 10), (746.153858639738, 12), (1028.0582846483887, 0)], 33.	 home: 12,	 position: 0,	 waiting since: 464,	 schedule: [(463.7519458295449, 12), (714.8412740660283, 10), (744.8412740660283, 12), (1013.4981197016746, 0)], 84.	 home: 9,	 position: 0,	 waiting since: 464,	 schedule: [(463.7405375847403, 9), (721.6385748280599, 10), (751.6385748280599, 9), (1008.5483056692256, 0)], 86.	 home: 13,	 position: 0,	 waiting since: 464,	 schedule: [(463.5062023281997, 13), (714.0342214282283, 10), (744.0342214282283, 13), (1025.2325813124608, 0)], 89.	 home: 13,	 position: 0,	 waiting since: 467,	 schedule: [(466.20114266218576, 13), (711.3280520779518, 10), (741.3280520779518, 13), (1028.8482260472767, 0)]]"
1440,926.71,100/100,100/100,1,5,"[3.	 home: 10,	 position: 0,	 waiting since: 468,	 schedule: [(467.3611100686261, 10), (737.3030366287304, 10), (767.3030366287304, 10), (1046.906999065116, 0)], 38.	 home: 12,	 position: 0,	 waiting since: 470,	 schedule: [(469.63271191475565, 12), (719.2378460755089, 10), (749.2378460755089, 12), (1033.3231246431774, 0)], 48.	 home: 9,	 position: 0,	 waiting since: 470,	 schedule: [(469.1475634833031, 9), (741.5380140189204, 10), (771.5380140189204, 9), (1026.6807774355314, 0)], 15.	 home: 11,	 position: 0,	 waiting since: 471,	 schedule: [(470.3613812762208, 11), (719.7761950169296, 10), (749.7761950169296, 11), (1017.9735220616492, 0)], 53.	 home: 3,	 position: 3,	 waiting since: 706,	 schedule: [(705.5485702780541, 5), (735.5485702780541, 3), (1013.8249505547435, 0)]]",1,5,"[54.	 home: 5,	 position: 0,	 waiting since: 471,	 schedule: [(470.3885258745558, 5), (715.9930511828271, 5), (745.9930511828271, 5), (1031.8046716564147, 0)], 66.	 home: 8,	 position: 0,	 waiting since: 471,	 schedule: [(470.33985593688084, 8), (726.3906928943713, 10), (756.3906928943713, 8), (1021.2180401761979, 0)], 87.	 home: 9,	 position: 0,	 waiting since: 471,	 schedule: [(470.49694511160936, 9), (723.2106654030814, 10), (753.2106654030814, 9), (1021.3838333460259, 0)], 80.	 home: 14,	 position: 0,	 waiting since: 472,	 schedule: [(471.3642437451922, 14), (721.0837475242442, 10), (751.0837475242442, 14), (1021.3537604521109, 0)], 33.	 home: 1,	 position: 1,	 waiting since: 741,	 schedule: [(728.3839682583375, 5), (758.3839682583375, 1), (1028.333071773994, 0)]]",13,4,"[94.	 home: 7,	 position: 7,	 waiting since: 729,	 schedule: [(728.758694027283, 5), (758.758694027283, 7), (1012.619259325002, 0)], 92.	 home: 13,	 position: 13,	 waiting since: 810,	 schedule: [(718.2834388226003, 10), (748.2834388226003, 13), (1007.6195565410349, 0)], 8.	 home: 11,	 position: 11,	 waiting since: 1001,	 schedule: [(1000.6416410427727, 0)], 19.	 home: 11,	 position: 11,	 waiting since: 1013,	 schedule: [(1012.1306947571621, 0)]]"
1440,927.8383838383838,99/100,99/100,14,1,"[40.	 home: 14,	 position: 14,	 waiting since: 935,	 schedule: [(729.997959066661, 10), (759.997959066661, 14), (1016.9509048464082, 0)]]",0,5,"[84.	 home: 8,	 position: 0,	 waiting since: 453,	 schedule: [(452.4650330330749, 8), (724.4693114339653, 10), (754.4693114339653, 8), (1034.8175373676138, 0)], 16.	 home: 9,	 position: 0,	 waiting since: 467,	 schedule: [(466.7032663069264, 9), (720.8238743212893, 10), (750.8238743212893, 9), (1013.3950528932263, 0)], 8.	 home: 3,	 position: 3,	 waiting since: 711,	 schedule: [(710.8933350997298, 5), (740.8933350997298, 3), (1040.3834234165017, 0)], 52.	 home: 3,	 position: 3,	 waiting since: 713,	 schedule: [(712.2305311056989, 5), (742.2305311056989, 3), (1027.7840984859522, 0)], 42.	 home: 5,	 position: 0,	 waiting since: 469,	 schedule: [(468.22109700040636, 5), (728.7533623268287, 5), (758.7533623268287, 5), (1032.396476753284, 0)]]",14,5,"[74.	 home: 6,	 position: 0,	 waiting since: 469,	 schedule: [(468.34376570323366, 6), (702.5773197917933, 5), (732.5773197917933, 6), (1006.5564603428711, 0)], 26.	 home: 4,	 position: 0,	 waiting since: 470,	 schedule: [(469.7576178151543, 4), (702.35650088973, 5), (732.35650088973, 4), (1017.5418174921307, 0)], 45.	 home: 12,	 position: 0,	 waiting since: 470,	 schedule: [(469.6816130048932, 12), (726.417978585758, 10), (756.417978585758, 12), (1031.243959105936, 0)], 3.	 home: 8,	 position: 0,	 waiting since: 471,	 schedule: [(470.1754981363353, 8), (737.7323093252403, 10), (767.7323093252403, 8), (1028.7195021401283, 0)], 27.	 home: 13,	 position: 13,	 waiting since: 1047,	 schedule: [(726.9490263668184, 10), (756.9490263668184, 13), (1038.589426192417, 0)]]"
1440,935.020202020202,99/100,99/100,14,0,[],2,5,"[83.	 home: 8,	 position: 0,	 waiting since: 458,	 schedule: [(457.6155815241928, 8), (711.273665914796, 10), (741.273665914796, 8), (1030.050943318564, 0)], 24.	 home: 13,	 position: 0,	 waiting since: 466,	 schedule: [(465.1998336030917, 13), (717.2437667704851, 10), (747.2437667704851, 13), (1035.4894383388823, 0)], 35.	 home: 3,	 position: 3,	 waiting since: 708,	 schedule: [(707.9685988812907, 5), (737.9685988812907, 3), (1013.853540818757, 0)], 80.	 home: 1,	 position: 1,	 waiting since: 729,	 schedule: [(728.0166330239699, 5), (758.0166330239699, 1), (1023.2757173186153, 0)], 87.	 home: 6,	 position: 0,	 waiting since: 468,	 schedule: [(467.08218534764626, 6), (720.5750494132697, 5), (750.5750494132697, 6), (1033.410151729364, 0)]]",7,0,[]
1440,927.62,100/100,100/100,14,0,[],5,5,"[55.	 home: 10,	 position: 0,	 waiting since: 465,	 schedule: [(464.52019716644355, 10), (720.65581098375, 10), (750.65581098375, 10), (1012.5029605507511, 0)], 27.	 home: 13,	 position: 0,	 waiting since: 466,	 schedule: [(465.4310564639989, 13), (739.4203050478872, 10), (769.4203050478872, 13), (1018.8197704971735, 0)], 64.	 home: 10,	 position: 0,	 waiting since: 466,	 schedule: [(465.8334273230609, 10), (715.1222991671747, 10), (745.1222991671747, 10), (1016.8242321224814, 0)], 18.	 home: 12,	 position: 0,	 waiting since: 467,	 schedule: [(466.07540958476676, 12), (703.4087545789941, 10), (733.4087545789941, 12), (1016.0762431476671, 0)], 90.	 home: 5,	 position: 5,	 waiting since: 1017,	 schedule: [(1016.6115006316098, 0)]]",14,0,[]
